i,real,imag
5,-0.8979,0.0000
5,-0.5661,0.0000
5,-0.5000,0.0000
5,-0.4339,0.0000
5,-0.1021,0.0000
5,-0.9131,0.0000
5,-0.7124,0.0000
5,-0.5000,0.0000
5,-0.2876,0.0000
5,-0.08690,0.0000
5,-0.9019,0.0000
5,-0.5253,0.0000
5,-0.5000,0.0000
5,-0.4747,0.0000
5,-0.09806,0.0000
5,-0.8657,0.0000
5,-0.5000,0.0000
5,-0.1343,0.0000
5,-0.5000,-0.3406
5,-0.5000,0.3406
5,-0.8712,0.0000
5,-0.5000,0.0000
5,-0.1288,0.0000
5,-0.5000,-0.1455
5,-0.5000,0.1455
5,-0.8542,0.0000
5,-0.5000,0.0000
5,-0.1458,0.0000
5,-0.5000,-0.08553
5,-0.5000,0.08553
5,-0.8782,0.0000
5,-0.6692,0.0000
5,-0.5000,0.0000
5,-0.3308,0.0000
5,-0.1218,0.0000
5,-0.8969,0.0000
5,-0.6180,0.0000
5,-0.5000,0.0000
5,-0.3820,0.0000
5,-0.1031,0.0000
5,-0.8560,0.0000
5,-0.5000,0.0000
5,-0.1440,0.0000
5,-0.5000,-0.2975
5,-0.5000,0.2975
5,-0.8565,0.0000
5,-0.6208,0.0000
5,-0.5000,0.0000
5,-0.3792,0.0000
5,-0.1435,0.0000
5,-0.8451,0.0000
5,-0.5000,0.0000
5,-0.1549,0.0000
5,-0.5000,-0.1482
5,-0.5000,0.1482
5,-0.8739,0.0000
5,-0.6523,0.0000
5,-0.5000,0.0000
5,-0.3477,0.0000
5,-0.1261,0.0000
5,-0.8262,0.0000
5,-0.5000,0.0000
5,-0.1738,0.0000
5,-0.5000,-0.1619
5,-0.5000,0.1619
5,-0.8250,0.0000
5,-0.5862,0.0000
5,-0.5000,0.0000
5,-0.4138,0.0000
5,-0.1750,0.0000
5,-0.7935,0.0000
5,-0.5000,0.0000
5,-0.2065,0.0000
5,-0.5000,-0.2602
5,-0.5000,0.2602
5,-0.8385,0.0000
5,-0.6316,0.0000
5,-0.5000,0.0000
5,-0.3684,0.0000
5,-0.1615,0.0000
5,-0.8591,0.0000
5,-0.6791,0.0000
5,-0.5000,0.0000
5,-0.3209,0.0000
5,-0.1409,0.0000
5,-0.8606,0.0000
5,-0.5000,0.0000
5,-0.1394,0.0000
5,-0.5000,-0.000005500
5,-0.5000,0.000005500
5,-0.8435,0.0000
5,-0.5000,0.0000
5,-0.1565,0.0000
5,-0.5000,-0.2449
5,-0.5000,0.2449
5,-0.8908,0.0000
5,-0.6667,0.0000
5,-0.5000,0.0000
5,-0.3333,0.0000
5,-0.1092,0.0000
5,-0.8849,0.0000
5,-0.5000,0.0000
5,-0.1151,0.0000
5,-0.5000,-0.06401
5,-0.5000,0.06401
5,-0.8514,0.0000
5,-0.5000,0.0000
5,-0.1486,0.0000
5,-0.5000,-0.3347
5,-0.5000,0.3347
5,-0.8727,0.0000
5,-0.5000,0.0000
5,-0.1273,0.0000
5,-0.5000,-0.1043
5,-0.5000,0.1043
5,-0.8439,0.0000
5,-0.5000,0.0000
5,-0.1561,0.0000
5,-0.5000,-0.1066
5,-0.5000,0.1066
5,-0.8452,0.0000
5,-0.5000,0.0000
5,-0.1548,0.0000
5,-0.5000,-0.2018
5,-0.5000,0.2018
5,-0.8701,0.0000
5,-0.6515,0.0000
5,-0.5000,0.0000
5,-0.3485,0.0000
5,-0.1299,0.0000
5,-0.8558,0.0000
5,-0.5000,0.0000
5,-0.1442,0.0000
5,-0.5000,-0.1055
5,-0.5000,0.1055
5,-0.8783,0.0000
5,-0.6343,0.0000
5,-0.5000,0.0000
5,-0.3657,0.0000
5,-0.1217,0.0000
5,-0.8390,0.0000
5,-0.5000,0.0000
5,-0.1610,0.0000
5,-0.5000,-0.2539
5,-0.5000,0.2539
5,-0.7364,0.0000
5,-0.5000,0.0000
5,-0.2636,0.0000
5,-0.5000,-0.2205
5,-0.5000,0.2205
5,-0.5000,0.0000
5,-0.6637,-0.09777
5,-0.6637,0.09777
5,-0.3363,-0.09777
5,-0.3363,0.09777
5,-0.7993,0.0000
5,-0.5000,0.0000
5,-0.2007,0.0000
5,-0.5000,-0.1467
5,-0.5000,0.1467
5,-0.8057,0.0000
5,-0.5940,0.0000
5,-0.5000,0.0000
5,-0.4060,0.0000
5,-0.1943,0.0000
5,-0.7861,0.0000
5,-0.5000,0.0000
5,-0.2139,0.0000
5,-0.5000,-0.1581
5,-0.5000,0.1581
5,-0.7324,0.0000
5,-0.5000,0.0000
5,-0.2676,0.0000
5,-0.5000,-0.1822
5,-0.5000,0.1822
5,-0.5000,0.0000
5,-0.6623,-0.04347
5,-0.6623,0.04347
5,-0.3377,-0.04347
5,-0.3377,0.04347
5,-0.5000,0.0000
5,-0.6378,-0.1153
5,-0.6378,0.1153
5,-0.3622,-0.1153
5,-0.3622,0.1153
5,-0.5000,0.0000
5,-0.6970,-0.02173
5,-0.6970,0.02173
5,-0.3030,-0.02173
5,-0.3030,0.02173
5,-0.5000,0.0000
5,-0.6615,-0.1741
5,-0.6615,0.1741
5,-0.3385,-0.1741
5,-0.3385,0.1741
5,-0.5000,0.0000
5,-0.6921,-0.1220
5,-0.6921,0.1220
5,-0.3079,-0.1220
5,-0.3079,0.1220
5,-0.6987,0.0000
5,-0.6667,0.0000
5,-0.5000,0.0000
5,-0.3333,0.0000
5,-0.3013,0.0000
5,-0.5000,0.0000
5,-0.6008,-0.04699
5,-0.6008,0.04699
5,-0.3992,-0.04699
5,-0.3992,0.04699
5,-0.5000,0.0000
5,-0.7250,-0.04486
5,-0.7250,0.04486
5,-0.2750,-0.04486
5,-0.2750,0.04486
5,-0.8273,0.0000
5,-0.5000,0.0000
5,-0.1727,0.0000
5,-0.7983,0.0000
5,-0.5000,0.0000
5,-0.2017,0.0000
5,-0.5000,-0.2812
5,-0.5000,0.2812
5,-0.8273,0.0000
5,-0.5000,0.0000
5,-0.1727,0.0000
5,-0.7861,0.0000
5,-0.5000,0.0000
5,-0.2139,0.0000
5,-0.5000,-0.1581
5,-0.5000,0.1581
5,-0.7758,0.0000
5,-0.5455,0.0000
5,-0.5000,0.0000
5,-0.4545,0.0000
5,-0.2242,0.0000
5,-0.8220,0.0000
5,-0.6667,0.0000
5,-0.5000,0.0000
5,-0.3333,0.0000
5,-0.1780,0.0000
5,-0.8416,0.0000
5,-0.5000,0.0000
5,-0.1584,0.0000
5,-0.5000,-0.07293
5,-0.5000,0.07293
5,-0.8626,0.0000
5,-0.6840,0.0000
5,-0.5000,0.0000
5,-0.3160,0.0000
5,-0.1374,0.0000
5,-0.8530,0.0000
5,-0.5000,0.0000
5,-0.1470,0.0000
5,-0.5000,-0.06933
5,-0.5000,0.06933
5,-0.8066,0.0000
5,-0.5000,0.0000
5,-0.1934,0.0000
5,-0.5000,-0.3360
5,-0.5000,0.3360
5,-0.8148,0.0000
5,-0.5000,0.0000
5,-0.1852,0.0000
5,-0.5000,-0.1576
5,-0.5000,0.1576
5,-0.7932,0.0000
5,-0.5000,0.0000
5,-0.2068,0.0000
5,-0.5000,-0.1082
5,-0.5000,0.1082
5,-0.8273,0.0000
5,-0.6449,0.0000
5,-0.5000,0.0000
5,-0.3551,0.0000
5,-0.1727,0.0000
5,-0.8446,0.0000
5,-0.6036,0.0000
5,-0.5000,0.0000
5,-0.3964,0.0000
5,-0.1554,0.0000
5,-0.7916,0.0000
5,-0.5000,0.0000
5,-0.2084,0.0000
5,-0.5000,-0.2876
5,-0.5000,0.2876
5,-0.8309,0.0000
5,-0.5000,0.0000
5,-0.1691,0.0000
5,-0.5000,-0.1048
5,-0.5000,0.1048
5,-0.7822,0.0000
5,-0.5000,0.0000
5,-0.2178,0.0000
5,-0.5000,-0.3280
5,-0.5000,0.3280
5,-0.8067,0.0000
5,-0.5000,0.0000
5,-0.1933,0.0000
5,-0.5000,-0.1137
5,-0.5000,0.1137
5,-0.7699,0.0000
5,-0.5000,0.0000
5,-0.2301,0.0000
5,-0.5000,-0.1229
5,-0.5000,0.1229
5,-0.7823,0.0000
5,-0.5000,0.0000
5,-0.2177,0.0000
5,-0.5000,-0.2212
5,-0.5000,0.2212
5,-0.8120,0.0000
5,-0.6131,0.0000
5,-0.5000,0.0000
5,-0.3869,0.0000
5,-0.1880,0.0000
5,-0.8389,0.0000
5,-0.5000,0.0000
5,-0.1611,0.0000
5,-0.5000,-0.09251
5,-0.5000,0.09251
5,-0.7911,0.0000
5,-0.5000,0.0000
5,-0.2089,0.0000
5,-0.5000,-0.3309
5,-0.5000,0.3309
5,-0.8015,0.0000
5,-0.5000,0.0000
5,-0.1985,0.0000
5,-0.5000,-0.1635
5,-0.5000,0.1635
5,-0.8031,0.0000
5,-0.5000,0.0000
5,-0.1969,0.0000
5,-0.5000,-0.1482
5,-0.5000,0.1482
5,-0.7484,0.0000
5,-0.5000,0.0000
5,-0.2516,0.0000
5,-0.5000,-0.3165
5,-0.5000,0.3165
5,-0.6947,0.0000
5,-0.5000,0.0000
5,-0.3053,0.0000
5,-0.5000,-0.2980
