g,real,imag
2,-1.00000,-0.70711
2,-1.00000,0.70711
3,-1.29336,-0.89462
3,-1.29336,0.89462
3,-0.70664,-0.89462
3,-0.70664,0.89462
4,-1.52300,-0.93196
4,-1.52300,0.93196
4,-1.00000,-1.08671
4,-1.00000,1.08671
4,-0.47700,-0.93196
4,-0.47700,0.93196
5,-1.69050,-0.90693
5,-1.69050,0.90693
5,-1.23627,-1.15645
5,-1.23627,1.15645
5,-0.76373,-1.15645
5,-0.76373,1.15645
5,-0.30950,-0.90693
5,-0.30950,0.90693
6,-1.80880,-0.85807
6,-1.80880,0.85807
6,-1.42493,-1.16630
6,-1.42493,1.16630
6,-1.00000,-1.25585
6,-1.00000,1.25585
6,-0.57507,-1.16630
6,-0.57507,1.16630
6,-0.19120,-0.85807
6,-0.19120,0.85807
7,-1.89165,-0.80323
7,-1.89165,0.80323
7,-1.57405,-1.14472
7,-1.57405,1.14472
7,-1.19577,-1.29343
7,-1.19577,1.29343
7,-0.80423,-1.29343
7,-0.80423,1.29343
7,-0.42595,-1.14472
7,-0.42595,1.14472
7,-0.10835,-0.80323
7,-0.10835,0.80323
8,-1.94996,-0.75008
8,-1.94996,0.75008
8,-1.69127,-1.10722
8,-1.69127,1.10722
8,-1.35765,-1.29581
8,-1.35765,1.29581
8,-1.00000,-1.35545
8,-1.00000,1.35545
8,-0.64235,-1.29581
8,-0.64235,1.29581
8,-0.30873,-1.10722
8,-0.30873,1.10722
8,-0.05004,-0.75008
8,-0.05004,0.75008
9,-1.99149,-0.70142
9,-1.99149,0.70142
9,-1.78330,-1.06261
9,-1.78330,1.06261
9,-1.49123,-1.27756
9,-1.49123,1.27756
9,-1.16676,-1.37919
9,-1.16676,1.37919
9,-0.83324,-1.37919
9,-0.83324,1.37919
9,-0.50877,-1.27756
9,-0.50877,1.27756
9,-0.21670,-1.06261
9,-0.21670,1.06261
9,-0.00851,-0.70142
9,-0.00851,0.70142
10,-2.02149,-0.65793
10,-2.02149,0.65793
10,-1.85572,-1.01584
10,-1.85572,1.01584
10,-1.60141,-1.24744
10,-1.60141,1.24744
10,-1.30857,-1.37908
10,-1.30857,1.37908
10,-1.00000,-1.42190
10,-1.00000,1.42190
10,-0.69143,-1.37908
10,-0.69143,1.37908
10,-0.39859,-1.24744
10,-0.39859,1.24744
10,-0.14428,-1.01584
10,-0.14428,1.01584
10,0.02149,-0.65793
10,0.02149,0.65793
11,-2.04345,-0.61940
11,-2.04345,0.61940
11,-1.91295,-0.96964
11,-1.91295,0.96964
11,-1.69237,-1.21088
11,-1.69237,1.21088
11,-1.42911,-1.36389
11,-1.42911,1.36389
11,-1.14513,-1.43836
11,-1.14513,1.43836
11,-0.85487,-1.43836
11,-0.85487,1.43836
11,-0.57089,-1.36389
11,-0.57089,1.36389
11,-0.30763,-1.21088
11,-0.30763,1.21088
11,-0.08705,-0.96964
11,-0.08705,0.96964
11,0.04345,-0.61940
11,0.04345,0.61940
12,-2.05975,-0.58534
12,-2.05975,0.58534
12,-1.95840,-0.92545
12,-1.95840,0.92545
12,-1.76763,-1.17130
12,-1.76763,1.17130
12,-1.53161,-1.33924
12,-1.53161,1.33924
12,-1.27124,-1.43737
12,-1.27124,1.43737
12,-1.00000,-1.46967
12,-1.00000,1.46967
12,-0.72876,-1.43737
12,-0.72876,1.43737
12,-0.46839,-1.33924
12,-0.46839,1.33924
12,-0.23237,-1.17130
12,-0.23237,1.17130
12,-0.04160,-0.92545
12,-0.04160,0.92545
12,0.05975,-0.58534
12,0.05975,0.58534
13,-2.07196,-0.55517
13,-2.07196,0.55517
13,-1.99473,-0.88391
13,-1.99473,0.88391
13,-1.83008,-1.13082
13,-1.83008,1.13082
13,-1.61890,-1.30889
13,-1.61890,1.30889
13,-1.38081,-1.42470
13,-1.38081,1.42470
13,-1.12843,-1.48180
13,-1.12843,1.48180
13,-0.87157,-1.48180
13,-0.87157,1.48180
13,-0.61919,-1.42470
13,-0.61919,1.42470
13,-0.38110,-1.30889
13,-0.38110,1.30889
13,-0.16992,-1.13082
13,-0.16992,1.13082
13,-0.00527,-0.88391
13,-0.00527,0.88391
13,0.07196,-0.55517
13,0.07196,0.55517
14,-2.08119,-0.52835
14,-2.08119,0.52835
14,-2.02393,-0.84527
14,-2.02393,0.84527
14,-1.88210,-1.09077
14,-1.88210,1.09077
14,-1.69336,-1.27532
14,-1.69336,1.27532
14,-1.47604,-1.40424
14,-1.47604,1.40424
14,-1.24193,-1.48054
14,-1.24193,1.48054
14,-1.00000,-1.50580
14,-1.00000,1.50580
14,-0.75807,-1.48054
14,-0.75807,1.48054
14,-0.52396,-1.40424
14,-0.52396,1.40424
14,-0.30664,-1.27532
14,-0.30664,1.27532
14,-0.11790,-1.09077
14,-0.11790,1.09077
14,0.02393,-0.84527
14,0.02393,0.84527
14,0.08119,-0.52835
14,0.08119,0.52835
15,-2.08821,-0.50439
15,-2.08821,0.50439
15,-2.04754,-0.80952
15,-2.04754,0.80952
15,-1.92560,-1.05191
15,-1.92560,1.05191
15,-1.75705,-1.24022
15,-1.75705,1.24022
15,-1.55892,-1.37872
15,-1.55892,1.37872
15,-1.34221,-1.46988
15,-1.34221,1.46988
15,-1.11517,-1.51513
15,-1.11517,1.51513
15,-0.88483,-1.51513
15,-0.88483,1.51513
15,-0.65779,-1.46988
15,-0.65779,1.46988
15,-0.44108,-1.37872
15,-0.44108,1.37872
15,-0.24295,-1.24022
15,-0.24295,1.24022
15,-0.07440,-1.05191
15,-0.07440,1.05191
15,0.04754,-0.80952
15,0.04754,0.80952
15,0.08821,-0.50439
15,0.08821,0.50439
16,-2.09357,-0.48288
16,-2.09357,0.48288
16,-2.06674,-0.77653
16,-2.06674,0.77653
16,-1.96211,-1.01469
16,-1.96211,1.01469
16,-1.81166,-1.20470
16,-1.81166,1.20470
16,-1.63116,-1.35004
16,-1.63116,1.35004
16,-1.43083,-1.45268
16,-1.43083,1.45268
16,-1.21832,-1.51382
16,-1.21832,1.51382
16,-1.00000,-1.53413
16,-1.00000,1.53413
16,-0.78168,-1.51382
16,-0.78168,1.51382
16,-0.56917,-1.45268
16,-0.56917,1.45268
16,-0.36884,-1.35004
16,-0.36884,1.35004
16,-0.18834,-1.20470
16,-0.18834,1.20470
16,-0.03789,-1.01469
16,-0.03789,1.01469
16,0.06674,-0.77653
16,0.06674,0.77653
16,0.09357,-0.48288
16,0.09357,0.48288
17,-2.09767,-0.46349
17,-2.09767,0.46349
17,-2.08242,-0.74612
17,-2.08242,0.74612
17,-1.99289,-0.97932
17,-1.99289,0.97932
17,-1.85862,-1.16951
17,-1.85862,1.16951
17,-1.69424,-1.31954
17,-1.69424,1.31954
17,-1.50923,-1.43098
17,-1.50923,1.43098
17,-1.31067,-1.50479
17,-1.31067,1.50479
