i,real,imag
6,-0.9119,0.0000
6,-0.8448,0.0000
6,-0.1552,0.0000
6,-0.08807,0.0000
6,-0.5000,-0.1614
6,-0.5000,0.1614
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.9002,-0.008725
6,-0.9002,0.008725
6,-0.09976,-0.008725
6,-0.09976,0.008725
6,-0.9423,0.0000
6,-0.7899,0.0000
6,-0.2101,0.0000
6,-0.05766,0.0000
6,-0.5000,-0.1281
6,-0.5000,0.1281
6,-0.9148,0.0000
6,-0.7332,0.0000
6,-0.2668,0.0000
6,-0.08517,0.0000
6,-0.5000,-0.3797
6,-0.5000,0.3797
6,-0.9106,0.0000
6,-0.7733,0.0000
6,-0.2267,0.0000
6,-0.08936,0.0000
6,-0.5000,-0.1909
6,-0.5000,0.1909
6,-0.8939,0.0000
6,-0.7860,0.0000
6,-0.2140,0.0000
6,-0.1061,0.0000
6,-0.5000,-0.1532
6,-0.5000,0.1532
6,-0.9029,0.0000
6,-0.8297,0.0000
6,-0.1703,0.0000
6,-0.09712,0.0000
6,-0.5000,-0.00000002497
6,-0.5000,0.00000002497
6,-0.9428,0.0000
6,-0.7688,0.0000
6,-0.2312,0.0000
6,-0.05715,0.0000
6,-0.5000,-0.00000002450
6,-0.5000,0.00000002450
6,-0.9166,0.0000
6,-0.6858,0.0000
6,-0.3142,0.0000
6,-0.08342,0.0000
6,-0.5000,-0.3342
6,-0.5000,0.3342
6,-0.8956,0.0000
6,-0.7997,0.0000
6,-0.2003,0.0000
6,-0.1044,0.0000
6,-0.5000,-0.07293
6,-0.5000,0.07293
6,-0.8948,0.0000
6,-0.7593,0.0000
6,-0.2407,0.0000
6,-0.1052,0.0000
6,-0.5000,-0.1704
6,-0.5000,0.1704
6,-0.9059,0.0000
6,-0.8122,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.1878,0.0000
6,-0.09413,0.0000
6,-0.8979,0.0000
6,-0.5661,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.4339,0.0000
6,-0.1021,0.0000
6,-0.8994,0.0000
6,-0.1006,0.0000
6,-0.6743,-0.08838
6,-0.6743,0.08838
6,-0.3257,-0.08838
6,-0.3257,0.08838
6,-0.9003,0.0000
6,-0.09970,0.0000
6,-0.5813,-0.2271
6,-0.5813,0.2271
6,-0.4187,-0.2271
6,-0.4187,0.2271
6,-0.9247,0.0000
6,-0.07533,0.0000
6,-0.6880,-0.1134
6,-0.6880,0.1134
6,-0.3120,-0.1134
6,-0.3120,0.1134
6,-0.8975,0.0000
6,-0.8129,0.0000
6,-0.5803,0.0000
6,-0.4197,0.0000
6,-0.1871,0.0000
6,-0.1025,0.0000
6,-0.9131,0.0000
6,-0.7124,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.2876,0.0000
6,-0.08690,0.0000
6,-0.9181,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.08186,0.0000
6,-0.5000,-0.2543
6,-0.5000,0.2543
6,-0.9433,0.0000
6,-0.7216,0.0000
6,-0.6667,0.0000
6,-0.3333,0.0000
6,-0.2784,0.0000
6,-0.05667,0.0000
6,-0.9327,0.0000
6,-0.7724,0.0000
6,-0.2276,0.0000
6,-0.06731,0.0000
6,-0.5000,-0.1295
6,-0.5000,0.1295
6,-0.9063,0.0000
6,-0.7157,0.0000
6,-0.2843,0.0000
6,-0.09371,0.0000
6,-0.5000,-0.3716
6,-0.5000,0.3716
6,-0.9137,0.0000
6,-0.7649,0.0000
6,-0.2351,0.0000
6,-0.08632,0.0000
6,-0.5000,-0.1605
6,-0.5000,0.1605
6,-0.8941,0.0000
6,-0.7551,0.0000
6,-0.2449,0.0000
6,-0.1059,0.0000
6,-0.5000,-0.1520
